CustomerID,Name,E-mail,Phone
2641,David,rachaeljohnson@yahoo.com,+1-974-994
7023,Michael,reyeschristine@hotmail.com,(555)663-0
475,Kristen,fernandezjohn@gmail.com,369.204.94
9760,James,juliepatton@yahoo.com,001-412-40
1683,Patrick,camachochristina@yahoo.com,(783)479-1
2775,David,rogerschad@gmail.com,850.920.24
4360,Natalie,erika41@yahoo.com,001-341-99
2074,Amanda,jdavis@yahoo.com,895.291.24
3709,Stacey,tylerpage@gmail.com,975.690.43
7738,Lisa,barkermonica@yahoo.com,703-824-61
796,Catherine,erosales@yahoo.com,9827245849
6149,James,mcmahontimothy@yahoo.com,001-900-68
2091,James,flynnjacob@gmail.com,+1-490-469
182,Shannon,dromero@yahoo.com,884.813.39
1100,Barbara,hintonjeffery@gmail.com,+1-584-322
6848,Blake,hgomez@yahoo.com,+1-641-901
1264,Kendra,stevensrobert@gmail.com,+1-973-669
9934,Katelyn,gnelson@hotmail.com,277-969-65
8763,Steven,lgriffin@gmail.com,424-931-14
8839,Brian,reidkimberly@yahoo.com,916.302.27
8014,David,amy88@gmail.com,472.551.79
888,Phillip,penaalexandra@yahoo.com,(322)208-7
1793,Jeanette,gclark@hotmail.com,(991)251-6
4669,Julie,jenniferclark@gmail.com,(971)587-5
364,Brian,colleenmelendez@yahoo.com,+1-287-391
6933,Kathleen,robert32@yahoo.com,977-431-14
7614,Paul,michaelrodgers@yahoo.com,4082765267
4728,Joseph,bryan08@yahoo.com,001-990-88
2740,Carl,ulove@gmail.com,501-599-73
3767,Kimberly,fchavez@gmail.com,795.246.27
9996,Kelsey,aaron31@hotmail.com,(397)910-3
469,Kevin,roberto93@hotmail.com,(872)925-8
8007,Matthew,ymiller@gmail.com,+1-898-865
920,Anthony,tguzman@gmail.com,+1-732-674
3224,Christopher,valerierodriguez@gmail.com,(494)385-4
9303,Krystal,ktate@hotmail.com,598.792.55
2796,Lucas,donaldmejia@hotmail.com,001-576-20
2563,Andrea,rscott@hotmail.com,(228)221-3
10082,Tony,shawn35@gmail.com,443-704-78
351,Angela,jamesaguilar@gmail.com,8048336043
8637,Eric,wrightkaitlyn@yahoo.com,(683)523-1
814,Teresa,amandabrown@yahoo.com,(246)787-8
2941,Jo,klucas@yahoo.com,800-536-12
6973,Stephanie,candice79@yahoo.com,+1-523-525
8407,Hannah,tamarabeasley@gmail.com,(794)562-6
6820,Lori,jeffrey55@yahoo.com,667-490-12
6660,Kristen,adamprince@hotmail.com,(942)605-4
7484,Lisa,ronald51@yahoo.com,001-436-84
8892,Suzanne,justin83@hotmail.com,(451)449-5
2998,Danielle,cspencer@gmail.com,812-744-13
8778,Ariana,wsilva@hotmail.com,+1-446-705
2979,Linda,patricia57@hotmail.com,(835)436-4
8285,Jane,halldouglas@hotmail.com,650.740.84
9276,Anita,colonspencer@hotmail.com,001-326-88
3737,Chris,parkteresa@hotmail.com,+1-239-934
7960,Amber,alfredglass@yahoo.com,(313)200-1
1779,Monica,garrisonjessica@hotmail.com,2017238911
4033,Derrick,aliciavasquez@gmail.com,(600)668-8
1089,Sharon,dyerlaura@gmail.com,314-989-39
1548,Jeremy,shellybowers@yahoo.com,4723566667
1102,Austin,lcollins@hotmail.com,+1-710-305
